"기준년월일","요일","시간대","발신지_시도","발신지_시군구","발신지_읍면동","통화건수"
"20151201","화","00","서울특별시","강남구","역삼동","18"
"20151201","화","00","서울특별시","강남구","신사동","5"
"20151201","화","00","서울특별시","강남구","삼성동","5"
"20151201","화","00","서울특별시","강남구","논현동","5"
"20151201","화","00","서울특별시","강남구","대치동","5"
"20151201","화","00","서울특별시","강남구","수서동","5"
"20151201","화","00","서울특별시","구로구","개봉동","5"
"20151201","화","00","서울특별시","동작구","사당동","5"
"20151201","화","00","서울특별시","마포구","상수동","5"
"20151201","화","00","서울특별시","마포구","공덕동","5"
"20151201","화","00","서울특별시","마포구","망원동","5"
"20151201","화","00","서울특별시","서초구","양재동","5"
"20151201","화","00","서울특별시","서초구","서초동","5"
"20151201","화","00","서울특별시","서초구","반포동","5"
"20151201","화","00","서울특별시","성동구","성수동2가","5"
"20151201","화","00","서울특별시","송파구","송파동","5"
"20151201","화","00","서울특별시","송파구","가락동","5"
"20151201","화","00","서울특별시","용산구","이태원동","5"
"20151201","화","00","서울특별시","용산구","동자동","5"
"20151201","화","00","서울특별시","용산구","보광동","5"
"20151201","화","00","서울특별시","용산구","한강로1가","5"
"20151201","화","00","서울특별시","종로구","서린동","5"
"20151201","화","00","서울특별시","중구","수표동","5"
"20151201","화","00","서울특별시","중구","봉래동2가","5"
"20151201","화","00","서울특별시","중구","수하동","5"
"20151201","화","01","서울특별시","강남구","논현동","5"
"20151201","화","01","서울특별시","강남구","역삼동","7"
"20151201","화","01","서울특별시","강서구","염창동","5"
"20151201","화","01","서울특별시","광진구","자양동","5"
"20151201","화","01","서울특별시","동대문구","제기동","5"
"20151201","화","01","서울특별시","마포구","상암동","5"
"20151201","화","01","서울특별시","서초구","서초동","5"
"20151201","화","01","서울특별시","송파구","가락동","5"
"20151201","화","01","서울특별시","용산구","동자동","5"
"20151201","화","01","서울특별시","중구","을지로7가","5"
"20151201","화","01","서울특별시","중구","순화동","5"
"20151201","화","01","서울특별시","중구","수하동","5"
"20151201","화","01","서울특별시","중구","서소문동","5"
"20151201","화","02","서울특별시","강남구","삼성동","5"
"20151201","화","02","서울특별시","강남구","논현동","5"
"20151201","화","02","서울특별시","강남구","역삼동","5"
"20151201","화","02","서울특별시","강동구","길동","5"
"20151201","화","02","서울특별시","강서구","공항동","5"
"20151201","화","02","서울특별시","서초구","서초동","5"
"20151201","화","02","서울특별시","송파구","가락동","5"
"20151201","화","02","서울특별시","영등포구","여의도동","5"
"20151201","화","02","서울특별시","중구","충무로4가","5"
"20151201","화","02","서울특별시","중구","신당동","5"
"20151201","화","03","서울특별시","강남구","삼성동","5"
"20151201","화","03","서울특별시","강서구","화곡동","5"
"20151201","화","03","서울특별시","노원구","상계동","5"
"20151201","화","03","서울특별시","도봉구","창동","5"
"20151201","화","03","서울특별시","마포구","서교동","5"
"20151201","화","03","서울특별시","송파구","송파동","5"
"20151201","화","03","서울특별시","송파구","가락동","5"
"20151201","화","03","서울특별시","양천구","목동","5"
"20151201","화","04","서울특별시","강남구","역삼동","5"
"20151201","화","04","서울특별시","강남구","삼성동","5"
"20151201","화","04","서울특별시","강남구","세곡동","5"
"20151201","화","04","서울특별시","강서구","등촌동","5"
"20151201","화","04","서울특별시","구로구","개봉동","5"
"20151201","화","04","서울특별시","서초구","양재동","5"
"20151201","화","04","서울특별시","서초구","서초동","5"
"20151201","화","04","서울특별시","송파구","송파동","5"
"20151201","화","04","서울특별시","영등포구","양평동4가","5"
"20151201","화","05","서울특별시","강남구","삼성동","5"
"20151201","화","05","서울특별시","동작구","본동","5"
"20151201","화","05","서울특별시","송파구","가락동","5"
"20151201","화","05","서울특별시","중구","신당동","5"
"20151201","화","06","서울특별시","강남구","삼성동","5"
"20151201","화","06","서울특별시","강남구","논현동","5"
"20151201","화","06","서울특별시","도봉구","창동","5"
"20151201","화","06","서울특별시","마포구","공덕동","5"
"20151201","화","06","서울특별시","송파구","송파동","5"
