"기준년월일","요일","시간대","발신지_시도","발신지_시군구","발신지_읍면동","통화건수"
"20171201","금","00","서울특별시","강남구","논현동","5"
"20171201","금","00","서울특별시","강남구","삼성동","5"
"20171201","금","00","서울특별시","강남구","역삼동","8"
"20171201","금","00","서울특별시","강서구","가양동","5"
"20171201","금","00","서울특별시","마포구","노고산동","5"
"20171201","금","00","서울특별시","서대문구","연희동","5"
"20171201","금","00","서울특별시","서대문구","창천동","5"
"20171201","금","00","서울특별시","서초구","반포동","5"
"20171201","금","00","서울특별시","서초구","방배동","5"
"20171201","금","00","서울특별시","서초구","양재동","5"
"20171201","금","00","서울특별시","성동구","성수동2가","5"
"20171201","금","00","서울특별시","성북구","성북동","5"
"20171201","금","00","서울특별시","송파구","송파동","5"
"20171201","금","00","서울특별시","용산구","한강로3가","5"
"20171201","금","00","서울특별시","용산구","후암동","5"
"20171201","금","00","서울특별시","중구","수하동","5"
"20171201","금","01","서울특별시","강남구","삼성동","5"
"20171201","금","01","서울특별시","강남구","역삼동","5"
"20171201","금","01","서울특별시","마포구","창전동","5"
"20171201","금","01","서울특별시","서대문구","연희동","5"
"20171201","금","01","서울특별시","서대문구","창천동","5"
"20171201","금","01","서울특별시","서초구","방배동","5"
"20171201","금","01","서울특별시","성동구","옥수동","5"
"20171201","금","01","서울특별시","송파구","송파동","5"
"20171201","금","01","서울특별시","중구","수하동","5"
"20171201","금","02","서울특별시","강남구","논현동","5"
"20171201","금","02","서울특별시","강남구","세곡동","5"
"20171201","금","02","서울특별시","강남구","역삼동","5"
"20171201","금","02","서울특별시","동대문구","장안동","5"
"20171201","금","02","서울특별시","마포구","상암동","5"
"20171201","금","02","서울특별시","서초구","방배동","5"
"20171201","금","02","서울특별시","서초구","양재동","5"
"20171201","금","02","서울특별시","성북구","동선동2가","5"
"20171201","금","02","서울특별시","영등포구","여의도동","5"
"20171201","금","02","서울특별시","중구","서소문동","5"
"20171201","금","03","서울특별시","강남구","역삼동","5"
"20171201","금","03","서울특별시","서대문구","창천동","5"
"20171201","금","03","서울특별시","성동구","성수동2가","5"
"20171201","금","03","서울특별시","중구","무교동","5"
"20171201","금","04","서울특별시","강남구","역삼동","5"
"20171201","금","04","서울특별시","은평구","불광동","5"
"20171201","금","06","서울특별시","강서구","가양동","5"
"20171201","금","06","서울특별시","관악구","신림동","5"
"20171201","금","06","서울특별시","마포구","합정동","5"
"20171201","금","07","서울특별시","강남구","개포동","5"
"20171201","금","07","서울특별시","강동구","상일동","5"
"20171201","금","07","서울특별시","강북구","미아동","5"
"20171201","금","07","서울특별시","강서구","내발산동","5"
"20171201","금","07","서울특별시","서대문구","홍제동","5"
"20171201","금","08","서울특별시","구로구","개봉동","5"
"20171201","금","08","서울특별시","서초구","방배동","5"
"20171201","금","08","서울특별시","성동구","마장동","5"
"20171201","금","08","서울특별시","송파구","가락동","5"
"20171201","금","08","서울특별시","송파구","송파동","5"
"20171201","금","08","서울특별시","영등포구","문래동3가","5"
"20171201","금","08","서울특별시","은평구","불광동","5"
"20171201","금","09","서울특별시","강남구","논현동","5"
"20171201","금","09","서울특별시","강남구","역삼동","5"
"20171201","금","09","서울특별시","강북구","미아동","5"
"20171201","금","09","서울특별시","도봉구","쌍문동","5"
"20171201","금","09","서울특별시","서초구","방배동","5"
"20171201","금","09","서울특별시","성동구","옥수동","5"
"20171201","금","09","서울특별시","송파구","송파동","5"
"20171201","금","10","서울특별시","강서구","내발산동","5"
"20171201","금","10","서울특별시","서초구","방배동","5"
"20171201","금","10","서울특별시","송파구","송파동","5"
"20171201","금","10","서울특별시","중구","수하동","5"
"20171201","금","11","서울특별시","강동구","길동","5"
"20171201","금","11","서울특별시","강서구","화곡동","5"
"20171201","금","11","서울특별시","서초구","양재동","5"
"20171201","금","11","서울특별시","송파구","송파동","5"
"20171201","금","12","서울특별시","강동구","길동","5"
"20171201","금","12","서울특별시","강서구","방화동","5"
"20171201","금","12","서울특별시","서초구","양재동","5"
"20171201","금","12","서울특별시","성동구","옥수동","5"
"20171201","금","12","서울특별시","성북구","동선동2가","5"
"20171201","금","12","서울특별시","송파구","송파동","5"
"20171201","금","12","서울특별시","용산구","후암동","5"
"20171201","금","12","서울특별시","중구","수하동","5"
"20171201","금","12","서울특별시","중구","신당동","5"
"20171201","금","13","서울특별시","강서구","내발산동","5"
"20171201","금","13","서울특별시","노원구","상계동","5"
"20171201","금","13","서울특별시","송파구","송파동","5"
"20171201","금","13","서울특별시","영등포구","문래동3가","5"
"20171201","금","13","서울특별시","영등포구","여의도동","5"
"20171201","금","14","서울특별시","강남구","세곡동","5"
"20171201","금","14","서울특별시","강동구","길동","5"
"20171201","금","14","서울특별시","노원구","상계동","5"
"20171201","금","14","서울특별시","서초구","방배동","5"
"20171201","금","14","서울특별시","영등포구","문래동3가","5"
"20171201","금","15","서울특별시","노원구","상계동","5"
"20171201","금","15","서울특별시","마포구","상암동","5"
"20171201","금","15","서울특별시","송파구","송파동","5"
"20171201","금","15","서울특별시","영등포구","문래동3가","5"
"20171201","금","15","서울특별시","용산구","이촌동","5"
"20171201","금","15","서울특별시","용산구","후암동","5"
"20171201","금","15","서울특별시","은평구","불광동","5"
"20171201","금","15","서울특별시","중구","수하동","5"
"20171201","금","16","서울특별시","금천구","가산동","5"
"20171201","금","16","서울특별시","서초구","양재동","5"
"20171201","금","16","서울특별시","송파구","송파동","5"
"20171201","금","16","서울특별시","양천구","신정동","5"
"20171201","금","16","서울특별시","종로구","청진동","5"
"20171201","금","16","서울특별시","중구","수하동","5"
"20171201","금","17","서울특별시","강남구","수서동","5"
"20171201","금","17","서울특별시","강남구","일원동","5"
"20171201","금","17","서울특별시","강북구","미아동","5"
"20171201","금","17","서울특별시","구로구","개봉동","5"
"20171201","금","17","서울특별시","서대문구","연희동","5"
"20171201","금","17","서울특별시","서대문구","홍제동","5"
"20171201","금","17","서울특별시","서초구","양재동","5"
"20171201","금","17","서울특별시","용산구","후암동","5"
"20171201","금","17","서울특별시","중구","수하동","5"
"20171201","금","18","서울특별시","강동구","길동","5"
"20171201","금","18","서울특별시","강북구","미아동","5"
"20171201","금","18","서울특별시","강서구","가양동","5"
