,Unnamed: 0,date,line,code,name,in_people,out_people
1,1,20151201,9호선,4109,등촌,12770,12646
2,2,20151201,9호선,4110,염창,17803,17646
5,5,20151201,9호선,4113,당산,19477,18252
6,6,20151201,9호선,4114,국회의사당,18644,19173
7,7,20151201,9호선,4115,여의도,22747,21670
9,9,20151201,9호선,4117,노량진,24298,25623
11,11,20151201,9호선,4119,흑석(중앙대입구),13235,13828
15,15,20151201,9호선,4123,고속터미널,14852,16370
17,17,20151201,9호선,4125,신논현,31777,31070
18,68,20151201,7호선,2756,신중동,16145,16119
19,69,20151201,7호선,2757,부천시청,13400,13788
20,70,20151201,7호선,2758,상동,15075,15599
22,72,20151201,7호선,2760,굴포천,10002,10136
23,73,20151201,7호선,2761,부평구청,14637,11241
24,74,20151201,8호선,2811,암사,20152,17731
25,75,20151201,8호선,2812,천호,21597,22960
26,76,20151201,8호선,2813,강동구청,12538,12913
28,78,20151201,8호선,2815,잠실,12800,14850
29,79,20151201,8호선,2816,석촌,10769,11323
33,83,20151201,8호선,2820,장지,15290,14986
36,86,20151201,8호선,2823,남한산성입구,18243,17037
37,87,20151201,8호선,2824,단대오거리,15545,14312
47,97,20151201,9호선,4107,가양,22861,22421
48,162,20151201,7호선,2721,중화,13614,13027
49,163,20151201,7호선,2722,상봉,19471,18212
50,164,20151201,7호선,2723,면목,19002,18427
51,165,20151201,7호선,2724,사가정,18511,17896
53,167,20151201,1호선,150,서울역,61382,55862
54,168,20151201,1호선,151,시청,29655,30018
55,169,20151201,1호선,152,종각,50900,48987
56,170,20151201,1호선,153,종로3가,40957,37427
57,171,20151201,1호선,154,종로5가,30449,30793
58,172,20151201,1호선,155,동대문,16477,18771
59,173,20151201,1호선,156,신설동,19220,18783
60,174,20151201,1호선,157,제기동,22363,23010
61,175,20151201,1호선,158,청량리(지하),32197,33266
62,176,20151201,1호선,159,동묘앞,9939,10560
63,177,20151201,2호선,201,시청,31912,32146
64,178,20151201,2호선,202,을지로입구,59047,59642
65,179,20151201,2호선,203,을지로3가,24640,24304
66,180,20151201,2호선,204,을지로4가,15875,15848
67,181,20151201,2호선,205,동대문역사문화공원,19031,21741
68,182,20151201,2호선,206,신당,16973,17916
69,183,20151201,2호선,207,상왕십리,12576,11907
70,184,20151201,2호선,208,왕십리(성동구청),22344,18023
71,185,20151201,2호선,209,한양대,16796,19864
72,186,20151201,2호선,210,뚝섬,18555,19597
73,187,20151201,5호선,2527,여의도,28554,30983
75,189,20151201,5호선,2529,마포,17912,18568
76,190,20151201,5호선,2530,공덕,15989,16984
79,193,20151201,5호선,2533,서대문,22155,22998
80,194,20151201,5호선,2534,광화문,43188,45768
81,195,20151201,5호선,2535,종로3가,14238,14260
86,200,20151201,5호선,2540,행당,10119,8703
89,203,20151201,5호선,2543,답십리,19228,17638
90,204,20151201,5호선,2544,장한평,21556,21615
91,205,20151201,5호선,2545,군자,12535,13523
92,206,20151201,5호선,2546,아차산,16815,15727
93,207,20151201,5호선,2547,광나루,17271,15112
94,208,20151201,5호선,2548,천호,22388,24702
95,209,20151201,5호선,2549,강동,22063,18264
96,226,20151201,7호선,2748,가산디지털단지,52109,53127
97,227,20151201,7호선,2749,철산,28263,28718
98,228,20151201,7호선,2750,광명사거리,31343,30192
100,230,20151201,7호선,2752,온수,13531,12738
102,232,20151201,5호선,2551,굽은다리,11362,10780
104,234,20151201,5호선,2553,고덕,10385,10341
105,235,20151201,5호선,2554,상일동,13588,11368
106,236,20151201,5호선,2555,둔촌동,15131,15181
113,243,20151201,6호선,2611,응암,20337,19408
118,248,20151201,6호선,2617,새절,16682,15888
119,249,20151201,6호선,2618,증산,12413,11882
120,250,20151201,6호선,2619,디지털미디어시티,17805,19660
122,252,20151201,6호선,2621,마포구청,15988,14171
123,253,20151201,6호선,2622,망원,14021,14978
124,254,20151201,6호선,2623,합정,13823,13140
125,255,20151201,6호선,2624,상수,10806,12440
126,256,20151201,6호선,2625,광흥창,10995,10805
127,257,20151201,6호선,2626,대흥,10109,10857
128,258,20151201,6호선,2627,공덕,21363,20880
132,262,20151201,6호선,2631,이태원,13374,14501
137,267,20151201,6호선,2636,신당,9808,10290
141,271,20151201,6호선,2640,안암,16616,17168
142,272,20151201,6호선,2641,고려대,12944,12329
143,273,20151201,6호선,2642,월곡,16110,15117
145,275,20151201,6호선,2644,돌곶이,11383,10390
146,276,20151201,6호선,2645,석계,15805,16228
148,278,20151201,6호선,2647,화랑대,17277,12546
149,279,20151201,6호선,2648,봉화산(서울의료원),11409,10652
151,281,20151201,7호선,2712,도봉산,13967,12816
152,282,20151201,7호선,2713,수락산,16395,15668
153,283,20151201,7호선,2714,마들,14809,13459
154,284,20151201,7호선,2715,노원,23018,25268
155,285,20151201,7호선,2716,중계,19263,17625
156,286,20151201,7호선,2717,하계,25015,23856
157,287,20151201,7호선,2718,공릉,15444,15372
158,288,20151201,7호선,2719,태릉입구,10644,10338
159,289,20151201,7호선,2720,먹골,12030,11665
160,290,20151201,2호선,223,교대,44766,50307
161,291,20151201,2호선,224,서초,25845,26962
162,292,20151201,2호선,225,방배,26667,27478
163,293,20151201,2호선,226,사당,49865,54838
164,294,20151201,2호선,227,낙성대,34322,33499
165,295,20151201,2호선,228,서울대입구,59036,57678
166,296,20151201,2호선,229,봉천,27221,25266
167,297,20151201,2호선,230,신림,80560,78811
168,298,20151201,2호선,231,신대방,31680,30308
169,299,20151201,2호선,232,구로디지털단지,74402,75116
170,300,20151201,2호선,233,대림,35420,36778
171,301,20151201,2호선,234,신도림,68420,67614
172,302,20151201,2호선,235,문래,23438,23702
173,303,20151201,2호선,236,영등포구청,26172,26224
174,304,20151201,2호선,237,당산,26487,29709
175,305,20151201,2호선,238,합정,34841,35719
176,306,20151201,2호선,239,홍대입구,69658,70812
177,307,20151201,2호선,240,신촌,51828,53061
178,308,20151201,2호선,241,이대,25953,27521
179,309,20151201,2호선,242,아현,11987,11629
180,310,20151201,2호선,243,충정로,13568,14927
186,316,20151201,2호선,249,신정네거리,12537,12568
189,319,20151201,3호선,310,구파발,19990,16232
190,320,20151201,3호선,311,연신내,46601,43748
191,321,20151201,3호선,312,불광,22021,23416
192,322,20151201,3호선,313,녹번,17066,14967
193,323,20151201,3호선,314,홍제,23846,22307
196,326,20151201,3호선,317,경복궁,27832,29196
197,327,20151201,3호선,318,안국,29432,30933
198,328,20151201,3호선,319,종로3가,9499,12105
199,329,20151201,3호선,320,을지로3가,11544,13338
200,330,20151201,3호선,322,동대입구,14378,16564
201,331,20151201,3호선,323,약수,16768,16205
202,332,20151201,7호선,2726,중곡,12069,11193
203,333,20151201,7호선,2727,군자,16702,12824
204,334,20151201,7호선,2728,어린이대공원,20236,20599
205,335,20151201,7호선,2729,건대입구,18886,19994
207,337,20151201,7호선,2731,청담,26226,30349
208,338,20151201,7호선,2732,강남구청,18793,20491
209,339,20151201,7호선,2733,학동,27598,30769
210,340,20151201,7호선,2734,논현,23944,26079
212,342,20151201,7호선,2736,고속터미널,20242,18713
213,343,20151201,7호선,2737,내방,17977,18455
214,344,20151201,7호선,2738,이수,19287,19107
215,345,20151201,7호선,2739,남성,13606,12616
216,346,20151201,7호선,2740,숭실대입구,20580,20172
217,347,20151201,7호선,2741,상도,13719,13606
218,348,20151201,7호선,2742,장승배기,12141,11873
219,349,20151201,7호선,2743,신대방삼거리,18815,17768
220,350,20151201,7호선,2744,보라매,11339,11428
221,351,20151201,7호선,2745,신풍,13503,12664
222,352,20151201,7호선,2746,대림,11138,11364
223,353,20151201,7호선,2747,남구로,19298,20398
224,354,20151201,3호선,335,대치,13493,12814
226,356,20151201,3호선,337,대청,12950,11412
227,357,20151201,3호선,338,일원,11653,11915
228,358,20151201,3호선,339,수서,14563,14880
229,359,20151201,3호선,340,가락시장,10233,9544
232,362,20151201,4호선,409,당고개,15172,14195
233,363,20151201,4호선,410,상계,26631,23646
234,364,20151201,4호선,411,노원,25697,29042
235,365,20151201,4호선,412,창동,34624,37395
236,366,20151201,4호선,413,쌍문,38499,33463
237,367,20151201,4호선,414,수유(강북구청),52722,51567
238,368,20151201,4호선,415,미아,22399,20801
239,369,20151201,4호선,416,미아사거리,37787,36966
240,370,20151201,4호선,417,길음,33864,33109
241,371,20151201,4호선,418,성신여대입구,30704,28295
242,372,20151201,4호선,419,한성대입구,20747,19765
243,373,20151201,4호선,420,혜화,49380,50808
244,374,20151201,4호선,421,동대문,29821,30201
245,375,20151201,4호선,422,동대문역사문화공원,23656,22117
246,376,20151201,4호선,423,충무로,40476,41599
247,377,20151201,4호선,424,명동,41205,43996
248,378,20151201,4호선,425,회현,34385,36963
249,379,20151201,4호선,426,서울역,13269,20675
250,380,20151201,4호선,427,숙대입구,21904,21793
252,382,20151201,4호선,429,신용산,15081,16065
253,383,20151201,4호선,430,이촌,11251,12694
255,385,20151201,4호선,432,총신대입구,25618,28492
256,386,20151201,4호선,433,사당,37871,29523
258,388,20151201,경부선,1002,남영,14718,15935
259,389,20151201,경부선,1003,용산,34629,34336
260,390,20151201,경부선,1004,노량진,23073,22343
261,391,20151201,경부선,1005,대방,18132,18035
262,392,20151201,경부선,1006,영등포,49554,53505
264,394,20151201,경부선,1032,신길,12324,10159
265,395,20151201,경부선,1701,구로,24792,25685
