,date,line,code,name,in_people,out_people
23164,20171225,1호선,150,서울역,46980,44500
23165,20171225,1호선,151,시청,23850,22728
23166,20171225,1호선,152,종각,42551,32291
23167,20171225,1호선,153,종로3가,28019,26006
23168,20171225,1호선,154,종로5가,20302,20598
23169,20171225,1호선,155,동대문,14125,18523
23170,20171225,1호선,157,제기동,15261,15815
23171,20171225,1호선,158,청량리(서울시립대입구),23529,24311
23172,20171225,1호선,159,동묘앞,10102,10674
23173,20171225,2호선,201,시청,16912,14091
23174,20171225,2호선,202,을지로입구,44183,39032
23175,20171225,2호선,203,을지로3가,11198,9996
23176,20171225,2호선,205,동대문역사문화공원,16853,20545
23177,20171225,2호선,206,신당,10676,11654
23178,20171225,2호선,208,왕십리(성동구청),14329,12948
23179,20171225,2호선,211,성수,10905,12539
23180,20171225,2호선,212,건대입구,43914,46509
23181,20171225,2호선,213,구의(광진구청),14366,13811
23182,20171225,2호선,214,강변(동서울터미널),43737,45411
23183,20171225,2호선,216,잠실(송파구청),94832,87262
23184,20171225,2호선,217,잠실새내,19046,20355
23185,20171225,2호선,218,종합운동장,10994,12192
23186,20171225,2호선,219,삼성(무역센터),55093,55702
23187,20171225,2호선,220,선릉,16125,13676
23188,20171225,2호선,221,역삼,13924,14585
23189,20171225,2호선,222,강남,60849,61701
23190,20171225,2호선,223,교대(법원.검찰청),13862,15150
23191,20171225,2호선,224,서초,12790,12230
23192,20171225,2호선,226,사당,24457,29791
23193,20171225,2호선,227,낙성대,18685,18713
23194,20171225,2호선,228,서울대입구(관악구청),34414,34531
23195,20171225,2호선,229,봉천,14015,13308
23196,20171225,2호선,230,신림,51529,50471
23197,20171225,2호선,231,신대방,19029,18006
23198,20171225,2호선,232,구로디지털단지,34339,34068
23199,20171225,2호선,233,대림(구로구청),20039,20421
23200,20171225,2호선,234,신도림,42510,42724
23201,20171225,2호선,237,당산,11118,12122
23202,20171225,2호선,238,합정,26304,27604
23203,20171225,2호선,239,홍대입구,104449,107037
23204,20171225,2호선,240,신촌,55137,54089
23205,20171225,2호선,241,이대,14980,15589
23206,20171225,3호선,310,구파발,14350,14217
23207,20171225,3호선,311,연신내,30424,29864
23208,20171225,3호선,312,불광,13009,14803
23209,20171225,3호선,314,홍제,12368,11967
23210,20171225,3호선,317,경복궁(정부서울청사),16274,18462
23211,20171225,3호선,318,안국,17981,19979
23212,20171225,3호선,326,압구정,17742,19234
23213,20171225,3호선,327,신사,20266,20724
23214,20171225,3호선,329,고속터미널,66101,60331
23215,20171225,3호선,331,남부터미널(예술의전당),23579,24835
23216,20171225,3호선,332,양재(서초구청),15406,17279
23217,20171225,3호선,339,수서,11410,11190
23218,20171225,4호선,410,상계,13735,12369
23219,20171225,4호선,411,노원,19243,20778
