name,code,eng_name,line,out_code,address,x,y
가능,1907,Ganeung,01호선,109,경기 의정부시 평화로 633,127.044288264841,37.7483963196456
가산디지털단지,1702,Gasan Digital Complex,01호선,P142,서울특별시 금천구 벚꽃로 309 (가산동),126.882661758356,37.4803959660982
간석,1816,Ganseok,01호선,155,인천 남동구 석정로 522-11,126.694045387665,37.4651640782907
개봉,1801,Gaebong,01호선,143,서울 구로구 경인로40길 47,126.858715959622,37.4946417150651
관악,1705,Gwanak,01호선,P146,경기 안양시 만안구 경수대로1273번길 46,126.908499519816,37.4195688704361
광명,1750,Gwangmyeong,01호선,P144-1,경기 광명시 광명역로 21,126.884803975489,37.4164513418111
광운대,1019,Kwangwoon Univ.,01호선,119,서울 노원구 광운로 20,127.058270608867,37.6192404638865
구로,1701,Guro,01호선,141,서울 구로구 구로중앙로 174,126.882250411023,37.5033243797635
구일,1813,Guil,01호선,142,서울특별시 구로구 구로1동,126.8674103,37.496273
군포,1709,Gunpo,01호선,P150,경기 군포시 군포역1길 27,126.948521987571,37.3542355297842
금천구청,1703,Geumcheon-Gu Office,01호선,P144,서울 금천구 시흥대로73길 70,126.895455660768,37.4568415971315
남영,1002,Namyeong,01호선,134,서울 용산구 한강대로77길 25,126.971333201935,37.5405665171783
노량진,1004,Noryangjin,01호선,136,서울 동작구 노량진로 174,126.945392280831,37.5136064876753
녹양,1908,Nogyang,01호선,108,경기 의정부시 평화로 757,127.042279351606,37.759385253302
녹천,1021,Nokcheon,01호선,117,,127.0492173,37.644599
당정,1729,Dangjeong,01호선,P151,경기 군포시 당정역로 91,126.948366740427,37.3435961103462
도봉,1902,Dobong,01호선,114,서울 도봉구 도봉로170길 2,127.045537098185,37.6792124768903
도봉산,1903,Dobongsan,01호선,113,서울 도봉구 도봉로 948,127.046062716639,37.6895116783324
도원,1817,Dowon,01호선,159,인천 동구 참외전로 245,126.642530652655,37.4687689389912
도화,1823,Dohwa,01호선,157,인천 미추홀구 숙골로24번길 247,126.668575935273,37.4661175111199
독산,1714,Doksan,01호선,P143,서울 금천구 시흥대로 334,126.897847325412,37.4633309522334
동대문,155,Dongdaemun,01호선,128,서울특별시 중구 마른내로 지하162 (광희동1가),127.010631546623,37.5716676040162
동대문,155,Dongdaemun,01호선,128,서울특별시 종로구 종로 지하 302 (창신1동) (1호선 동대문역),127.010631546623,37.5716676040162
동대문,155,Dongdaemun,01호선,128,서울특별시 종로구  율곡로 지하 308 (종로6가) (4호선 동대문역),127.010631546623,37.5716676040162
동두천중앙,1913,Dongducheon jungang,01호선,103,경기 동두천시 동두천로 228,127.056425381835,37.9017796086587
동묘앞,159,Dongmyo,01호선,127,서울특별시 종로구 지봉로 지하24 (숭인동),127.016364305231,37.5732177197872
동묘앞,159,Dongmyo,01호선,127,서울특별시 종로구 종로 359 (숭인동) (1호선 동묘앞역),127.016364305231,37.5732177197872
두정,1727,Dujeong,01호선,P168,충남 천안시 서북구 두정로 289,127.149081128167,36.8336003142492
망월사,1904,Mangwolsa,01호선,112,경기 의정부시 평화로 221,127.047418285506,37.7102191609902
명학,1707,Myeonghak,01호선,P148,경기 안양시 만안구 안양로 110,126.933794877728,37.3848177480497
방학,1901,Banghak,01호선,115,서울 도봉구 도봉로150다길 3,127.044319649671,37.6674390206638
보산,1914,Bosan,01호선,102,경기 동두천시 평화로 2539,127.057178751034,37.9141449200828
부개,1815,Bugae,01호선,151,인천 부평구 길주남로 117,126.734721179271,37.5043193934127
서울역,150,Seoul Station,01호선,133,서울특별시 세종대로 지하 2 (남대문로 5가) (1호선 서울역),126.972091251236,37.5559802396321
서울역,150,Seoul Station,01호선,133,서울특별시 용산구 한강대로 지하 392 (동자동) (4호선 서울역),126.972091251236,37.5559802396321
석계,1018,Seokgye,01호선,120,서울특별시 노원구 화랑로 지하347-1 (월계동),127.065687159447,37.6150068855165
석수,1704,Seoksu,01호선,P145,경기 안양시 만안구 경수대로 1431,126.902466596299,37.4341812306686
성환,1725,Seonghwan,01호선,P166,충남 천안시 서북구 성환읍 성환1로 237-5,127.126885622854,36.9161371757052
세류,1715,Seryu,01호선,P156,경기 수원시 권선구 정조로 393-1,127.013741106504,37.2439662356408
소사,1814,Sosa,01호선,147,경기 부천시 경인로 363,126.795513197975,37.4827712680894
송탄,1721,Songtan,01호선,P162,경기 평택시 송탄공원로 43,127.05427601706,37.0757883491799
신길,1032,Singil,01호선,138,서울 영등포구 영등포로 327,126.91827217851,37.5168013825121
