,name,location
0,명동교자 본점,명동
1,우래옥 본점,을지로
2,을지면옥,을지로3가
3,미분당 신촌점,신촌
4,소이연남,연남동
5,을밀대 본점,마포
6,정돈,대학로
7,봉피양 방이점,방이동
8,라이너스바베큐,이태원
9,새벽집,청담동
10,윤씨밀방,홍대
11,미진,종로
12,진주집,여의도
13,청진옥,종로
14,동원집,을지로
15,하카타분코,홍대
16,육회자매집,광장시장
17,백년옥 본점,예술의전당
18,우마이도 건대점,건대
19,토속촌,경복궁
20,필동면옥,충무로
21,사모님돈가스,홍대
22,미즈컨테이너,강남역
23,중앙해장,삼성역
24,라멘트럭,상수
25,바토스 이태원점,이태원
26,멘야하나비,잠실
27,하동관 코엑스점,코엑스
28,계림,종로
29,정인면옥,여의도
30,부자피자 1호점,이태원
31,브루클린더버거조인트,가로수길
32,고성막국수,방화동
33,다운타우너 한남점,이태원
34,조씨네 고기국수,건대
35,어니언,성수동
36,만족오향족발,시청
37,알베르,강남역
38,툭툭누들타이,연남동
39,화상손만두,이대
40,반룡산,대치동
41,산수갑산,을지로
42,오레노,이태원
43,만푸쿠,잠실
44,독일주택,대학로
45,고에몬,강남역
46,황소고집,종로
47,아이엠어버거,홍대
48,은주정,방산시장
49,피오니,홍대
50,에베레스트 본점,동대문
51,자하손만두 본점,부암동
52,미분당,건대
53,농민백암순대 본점,선릉역
54,호야초밥,건대
55,마얘,서래마을
56,바다회사랑,연남동
57,쟈니덤플링 본점,이태원
58,빠오즈푸,어린이대공원
59,우동 카덴,합정
60,맛이차이나,홍대
61,애성회관,북창동
62,유진식당,종로
63,깡통만두,안국역
64,영춘옥,종로3가
65,진미평양냉면,논현동
66,브라더후드키친,강남역
67,호호식당,대학로
68,무라 1호점,홍대
69,핏제리아오 본점,대학로
70,목포집,가로수길
71,잇텐고,합정
72,지구당,서울대입구
73,쮸즈,가로수길
74,사랑방칼국수,충무로
75,C27,가로수길
76,비스테까,경리단길
77,삼청동 수제비,삼청동
78,뽕나무쟁이 족발,선릉
79,이태리총각,서촌
80,안,연남동
81,바다식당,이태원
82,멘야산다이메,대학로
83,2046팬스테이크 본점,삼청동
84,이나니와 요스케 시청점,시청
85,현초밥,대학로
86,송죽장,영등포
87,가마마루이,신촌
88,다운타우너,청담
89,풍년쌀농산,삼청동
90,순대실록,대학로
91,깔리,대학로
92,라페름,한남동
93,무교동 북어국집,시청
94,능라도,역삼동
95,조박집,마포
96,뭄알로이,상수
97,에그썸,샤로수길
98,혜화 칼국수,대학로
99,박용석스시,홍대
